MIN(LAT_DD),MIN(LONG_DD),NRM_REGION,SHELF,CATCHMENT,FULLREEF_ID,REEF_ID,REEF_NAME,MMP_SITE_NAME,AIMS_REEF_NAME,REEF_ZONE
-23.89088333,152.4197833,,O,,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,
-23.84866667,152.3723833,,O,,23081S,23081,FAIRFAX ISLANDS REEF,Fairfax Islands,Fairfax Island,
-23.79668333,152.2971333,,O,,23080S,23080,HOSKYN ISLANDS REEF,Hoskyn Islands,Hoskyn Island,
-23.74591667,152.2746833,,O,,23079S,23079,BOULT REEF,Boult,Boult Reef,
-23.53651667,151.7496833,,O,,23069S,23069,MAST HEAD REEF,Mast Head,Masthead Island,
-23.50018333,151.7747167,,O,,23068S,23068,ERSKINE REEF,Erskine,Erskine Island,
-23.49093333,152.0887833,,O,,23055S,23055,ONE TREE REEF,One Tree,One Tree Island,
-23.32296667,151.9762333,,O,,23051S,23051,WRECK ISLAND REEF,Wreck,Wreck Island,
-23.25738333,151.94255,,O,,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,
-23.1778,151.9086167,,O,,23045A,23045,NORTH REEF (NORTH),North Reef North,North Island,
-22.03203333,152.6183167,,M,,22104S,22104,HORSESHOE,Horseshoe,Horseshoe Reef,
-22.03083333,152.1888667,,M,,22088S,22088,SNAKE (22088),Snake,Snake Reef,
-22.00595,152.6668167,,M,,22102S,22102,CHINAMAN REEF(22102),Chinaman Reef,Chinaman Reef (22-102),
-22.00395,152.4634667,,M,,22084S,22084,22084S,Reef 22084,Reef 22-084,
-21.9903,152.6529,,M,,21588S,21588,WADE REEF,Wade,Wade Reef,
-21.98266667,152.4797167,,M,,21556S,21556,GANNETT CAY REEF,Gannett Cay,Gannet Cay,
-21.9628,152.3080333,,M,,21550S,21550,21550S,Reef 21550,Reef 21-550,
-21.9573,152.6101833,,M,,21584S,21584,JENKINS REEF,Jenkins,Jenkins Reef,
-21.8743,152.5226333,,M,,21572S,21572,SMALL LAGOON REEF,Small Lagoon,Small Lagoon Reef,
-21.87048333,152.1842667,,M,,21529S,21529,21529S,Reef 21529,Reef 21-529,
-21.70426667,152.5604333,,O,,21562S,21562,TURNER REEF,Turner,Turner Cay,
-21.5403,152.5473833,,O,,21558S,21558,21558S,Reef 21558,Reef 21-558,
-21.46981667,152.5665,,O,,21305S,21305,EAST CAY REEF,East Cay,East Cay,
-21.45628333,151.4654,,M,,21139S,21139,21139S,Reef 21139,Reef 21-139,
-21.4287,152.5817667,,O,,21302S,21302,21302S,Reef 21302,Reef 21-302,
-21.40853333,151.6384333,,M,,21187S,21187,21187S,Reef 21187,Reef 21-187,
-21.33428333,152.5655667,,O,,21296S,21296,21296S,Reef 21296,Reef 21-296,
-21.30031667,152.4424833,,M,,21245S,21245,21245S,Reef 21245,Reef 21-245,
-21.11053333,152.5435,,M,,21278S,21278,21278S,Reef 21278,Reef 21-278,
-21.057,150.7843167,,M,,21064S,21064,21064S,Reef 21064,Reef 21-064,
-21.03255,150.3803,,M,,21591S,21591,21591S,Reef 21591,Reef 21-591,
-21.02656667,150.8537833,,M,,21062S,21062,21062S,Reef 21062,Reef 21-062,
-21.01378333,150.5950667,,M,,21060S,21060,21060S,Reef 21060,Reef 21-060,
-21.00316667,149.8875167,,M,,21025S,21025,PENRITH REEF,Penrith,Penrith Island,
-20.99568333,150.5323,,M,,20351B,20351,POMPEY REEF (NO 2),Pompey 2,Pompey Reef No.2,
-20.96635,150.9270333,,M,,20353S,20353,20353S,Reef 20353,Reef 20-353,
-20.92408333,150.5581667,,M,,20351A,20351,POMPEY REEF (NO 1),Pompey 1,Pompey Reef No.1,
-20.90166667,150.0289333,,M,,20309S,20309,TERN REEF(20309),Tern,Tern Island,
-20.88286667,150.9389,,M,,20348S,20348,20348S,Reef 20348,Reef 20-348,
-20.1819,149.0319667,Mackay / Whitsunday,I,Proserpine,20067A,20067,BORDER ISLAND REEF (NO 1),Border,Border Island,
-20.08175,148.8738333,Mackay / Whitsunday,I,Proserpine,20019S,20019,LANGFORD-BIRD REEF,Langford,Langford and Bird Isles,
-20.06203333,148.8994,Mackay / Whitsunday,I,Proserpine,20014S,20014,HAYMAN ISLAND REEF,Hayman,Hayman Island,
-20.0376,149.69205,,M,,20104S,20104,20104S,Reef 20104,Reef 20-104,
-19.8088,149.4213,,M,,19138S,19138,19138S,Reef 19138,Reef 19-138,
-19.80051667,150.16125,,O,,19209S,19209,REBE REEF,Rebe,Rebe Reef,
-19.77276667,149.376,,M,,19131S,19131,19131S,Reef 19131,Reef 19-131,
-19.7436,150.0808,,O,,19207S,19207,HYDE REEF,Hyde,Hyde Reef,
-19.6641,149.9151667,,O,,19159S,19159,SLATE REEF,Slate,Slate Reef,
-19.19686667,146.8101667,Burdekin,I,Burdekin,19011S,19011,MIDDLE REEF(19011),Middle Rf LTMP,Middle Reef,(LTMP)
-18.83568333,146.5373667,Burdekin,I,Burdekin,18065S,18065,HAVANNAH REEF,Havannah North,Havannah Island,North
-18.81731667,147.6662167,,M,,18096S,18096,DAVIES REEF,Davies,Davies Reef,
-18.8125,146.4274167,Burdekin,I,Burdekin,18051S,18051,PANDORA REEF,Pandora North,Pandora Reef,North
-18.73785,147.5508333,,M,,18088S,18088,CENTIPEDE REEF,Centipede,Centipede Reef,
-18.7341,147.7218,,M,,18091S,18091,LYNCHS REEF,Lynchs,Lynchs Reef,
-18.66045,147.7217,,O,,18086S,18086,CHICKEN REEF,Chicken,Chicken Reef,
-18.6292,147.0814667,,M,,18075S,18075,JOHN BREWER REEF,John Brewer,John Brewer Reef,
-18.6242,147.2975667,,M,,18076S,18076,HELIX REEF,Helix,Helix Reef,
-18.62156667,147.4326667,,M,,18077S,18077,GRUB REEF(18077),Grub,Grub Reef (18-077),
-18.6054,147.5703167,,O,,18083S,18083,FORK REEF,Fork,Fork Reef,
-18.5738,147.5771833,,O,,18081S,18081,KNIFE REEF,Knife,Knife Reef,
-18.47873333,146.87865,,M,,18032S,18032,RIB REEF,Rib,Rib Reef,
-18.47673333,147.0548167,,M,,18043S,18043,FORE AND AFT REEF,Fore And Aft,Fore and Aft Reef,
-18.46286667,146.9983,,M,,18031S,18031,LITTLE KELSO REEF,Little Kelso,Little Kelso Reef,
-18.43516667,147.0593,,M,,18042S,18042,ROXBURGH REEF,Roxburgh,Roxburgh Reef,
-18.4221,146.9845667,,M,,18030S,18030,KELSO REEF,Kelso,Kelso Reef,
-18.40555,147.4519,,O,,18039S,18039,DIP REEF,Dip,Dip Reef,
-18.25716667,147.3812667,,O,,18034S,18034,MYRMIDON REEF,Myrmidon,Myrmidon Reef,
-17.81453333,146.5716167,,M,,17064S,17064,TAYLOR REEF,Taylor,Taylor Reef,
-17.797,146.5268167,,M,,17063A,17063,FARQUHARSON REEF (NO 1),FARQUHARSON REEF (NO 1),Farquharson Reef,
-17.523,146.3905333,,M,,17034S,17034,FEATHER REEF,Feather,Feather Reef,
-17.47175,146.4030833,,M,,17024S,17024,PEART REEF,Peart,Peart Reef,
-17.29065,146.4780833,,M,,17016S,17016,MCCULLOCH,Mcculloch,McCulloch Reef,
-17.2336,146.4778667,,O,,17014S,17014,HEDLEY REEF,Hedley,Hedley Reef,
-16.92315,145.9931333,Wet Tropics,I,Johnstone,16054S,16054,FITZROY ISLAND REEF,Fitzroy West LTMP,Fitzroy Island,West(LTMP)
-16.8535,146.2358333,,M,,16071S,16071,MOORE REEF,Moore,Moore Reef,
-16.80483333,146.1981167,,M,,16068S,16068,THETFORD REEF,Thetford,Thetford Reef,
-16.77531667,145.9735667,Wet Tropics,I,Johnstone,16049S,16049,GREEN ISLAND REEF,Green,Green Island,
-16.65238333,146.1107,,M,,16064S,16064,ARLINGTON REEF,Arlington,Arlington Reef,
-16.55536667,146.05,,M,,16060S,16060,MICHAELMAS REEF,Michaelmas,Michaelmas Cay,
-16.50681667,146.0226667,,M,,16057S,16057,HASTINGS REEF,Hastings,Hastings Reef,
-16.39021667,145.57095,Wet Tropics,I,Daintree,16028S,16028,LOW ISLANDS REEF,Low Isles,Low Isles,
-16.21091667,145.9062,,O,,16025S2,16025,OPAL (2),Opal 2,Opal Reef,
-16.07655,145.84515,,O,,16019S,16019,ST CRISPIN REEF,St Crispin,St. Crispin Reef,
-16.04756667,145.8687667,,O,,15099C,15099,AGINCOURT REEFS (NO 1),Agincourt 1,Agincourt Reef No.1,
-16.0474,145.6499667,,M,,16015S,16015,MACKAY REEF,Mackay,Mackay Reef,
-14.79255,145.3514,,I,,14126S,14126,LINNET REEF,Linnet,Linnet Reef,
-14.76455,145.3722333,,I,,14123S,14123,MARTIN REEF(14123),Martin,Martin Reef,
-14.74983333,145.5149833,,M,,14143S,14143,NORTH DIRECTION REEF,North Direction,North Direction Island,
-14.6977,145.4629667,,M,,14116S,14116,LIZARD ISLAND,Lizard,Lizard Isles,
-14.653,145.491,,M,,14114S,14114,MACGILLIVRAY REEF,Macgillivray,Macgillivray Reef,
-14.63156667,145.6453333,,O,,14139S,14139,NO NAME REEF,No Name,No Name Reef,
-14.57891667,145.6182667,,O,,14138S,14138,YONGE REEF,Yonge,Yonge Reef,
-14.52913333,145.5819833,,O,,14137S,14137,CARTER REEF,Carter,Carter Reef,
-14.19171667,144.8913667,,O,,14045S,14045,SAND BANK NO 1 REEF,SAND BANK NO 1 REEF,Sand bank No.1,
-13.96913333,144.45645,,O,,13130S,13130,DAVIE REEF,DAVIE REEF,Davie Reef,
-13.91168333,144.2364167,,M,,14016S,14016,CORBETT REEF,CORBETT REEF,Corbett Reef,
-13.87223333,144.0920833,,M,,13124S,13124,13124S,13124S,Reef 13-124,
-12.39828333,143.7435333,,O,,12061S,12061,LAGOON REEF,LAGOON REEF,Lagoon Reef,
-12.33801667,143.8537667,,O,,12056S,12056,MANTIS REEF,MANTIS REEF,Mantis Reef,
-11.60075,143.2939667,,M,,11162S,11162,11162S,11162S,Reef 11-162,
-11.35715,143.33275,,M,,11049S,11049,11049S,11049S,Reef 11-049,
-11.12926667,143.2614833,,M,,11029S,11029,MONSOON REEF,MONSOON REEF,Monsoon Reef,
-11.0264,143.25005,,M,,11016S,11016,MCSWEENEY REEF,MCSWEENEY REEF,McSweeney Reef,
